title,year,rating
1. The Shawshank Redemption,1994,2h 22m
2. The Godfather,1972,2h 55m
3. The Dark Knight,2008,2h 32m
4. The Godfather Part II,1974,3h 22m
5. 12 Angry Men,1957,1h 36m
6. Schindler's List,1993,3h 15m
7. The Lord of the Rings: The Return of the King,2003,3h 21m
8. Pulp Fiction,1994,2h 34m
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m
"10. The Good, the Bad and the Ugly",1966,2h 58m
11. Forrest Gump,1994,2h 22m
12. Fight Club,1999,2h 19m
13. The Lord of the Rings: The Two Towers,2002,2h 59m
14. Inception,2010,2h 28m
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m
16. The Matrix,1999,2h 16m
17. Spider-Man: Across the Spider-Verse,2023,2h 20m
18. Goodfellas,1990,2h 25m
19. One Flew Over the Cuckoo's Nest,1975,2h 13m
20. Se7en,1995,2h 7m
21. It's a Wonderful Life,1946,2h 10m
22. Seven Samurai,1954,3h 27m
23. The Silence of the Lambs,1991,1h 58m
24. Interstellar,2014,2h 49m
25. Saving Private Ryan,1998,2h 49m
26. City of God,2002,2h 10m
27. Life Is Beautiful,1997,1h 56m
28. The Green Mile,1999,3h 9m
29. Star Wars: Episode IV - A New Hope,1977,2h 1m
30. Terminator 2: Judgment Day,1991,2h 17m
31. Back to the Future,1985,1h 56m
32. Spirited Away,2001,2h 5m
33. The Pianist,2002,2h 30m
34. Psycho,1960,1h 49m
35. Parasite,2019,2h 12m
36. Oppenheimer,2023,3h
37. Gladiator,2000,2h 35m
38. The Lion King,1994,1h 28m
39. Léon: The Professional,1994,1h 50m
40. American History X,1998,1h 59m
41. The Departed,2006,2h 31m
42. Whiplash,2014,1h 46m
43. The Prestige,2006,2h 10m
44. The Usual Suspects,1995,1h 46m
45. Grave of the Fireflies,1988,1h 29m
46. Casablanca,1942,1h 42m
47. Harakiri,1962,2h 13m
48. The Intouchables,2011,1h 52m
49. Modern Times,1936,1h 27m
50. Cinema Paradiso,1988,2h 35m
51. Once Upon a Time in the West,1968,2h 45m
52. Rear Window,1954,1h 52m
53. Alien,1979,1h 57m
54. City Lights,1931,1h 27m
55. Apocalypse Now,1979,2h 27m
56. Memento,2000,1h 53m
57. Django Unchained,2012,2h 45m
58. Indiana Jones and the Raiders of the Lost Ark,1981,1h 55m
59. WALL·E,2008,1h 38m
60. The Lives of Others,2006,2h 17m
61. Sunset Blvd.,1950,1h 50m
62. Paths of Glory,1957,1h 28m
63. Avengers: Infinity War,2018,2h 29m
64. The Shining,1980,2h 26m
65. The Great Dictator,1940,2h 5m
66. Witness for the Prosecution,1957,1h 56m
67. Spider-Man: Into the Spider-Verse,2018,1h 57m
68. Aliens,1986,2h 17m
69. American Beauty,1999,2h 2m
70. The Dark Knight Rises,2012,2h 44m
71. Inglourious Basterds,2009,2h 33m
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m
73. Oldboy,2003,2h
74. Coco,2017,1h 45m
75. Amadeus,1984,2h 40m
76. Toy Story,1995,1h 21m
77. Braveheart,1995,2h 58m
78. Das Boot,1981,2h 29m
79. Joker,2019,2h 2m
80. Avengers: Endgame,2019,3h 1m
81. Princess Mononoke,1997,2h 14m
82. Good Will Hunting,1997,2h 6m
83. Once Upon a Time in America,1984,3h 49m
84. Your Name.,2016,1h 46m
85. 3 Idiots,2009,2h 50m
86. High and Low,1963,2h 23m
87. Singin' in the Rain,1952,1h 43m
88. Requiem for a Dream,2000,1h 42m
89. Capernaum,2018,2h 6m
90. Toy Story 3,2010,1h 43m
91. Come and See,1985,2h 22m
92. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m
93. Eternal Sunshine of the Spotless Mind,2004,1h 48m
94. 2001: A Space Odyssey,1968,2h 29m
95. The Hunt,2012,1h 55m
96. Reservoir Dogs,1992,1h 39m
97. Ikiru,1952,2h 23m
98. Lawrence of Arabia,1962,3h 38m
99. Citizen Kane,1941,1h 59m
100. M,1931,1h 39m
101. North by Northwest,1959,2h 16m
102. The Apartment,1960,2h 5m
103. Vertigo,1958,2h 8m
104. Double Indemnity,1944,1h 47m
105. Amélie,2001,2h 2m
106. Scarface,1983,2h 50m
107. Full Metal Jacket,1987,1h 56m
108. A Clockwork Orange,1971,2h 16m
109. Incendies,2010,2h 11m
110. Hamilton,2020,2h 40m
111. Heat,1995,2h 50m
112. Up,2009,1h 36m
113. To Kill a Mockingbird,1962,2h 9m
114. The Sting,1973,2h 9m
115. A Separation,2011,2h 3m
116. Indiana Jones and the Last Crusade,1989,2h 7m
117. Metropolis,1927,2h 33m
118. Die Hard,1988,2h 12m
119. L.A. Confidential,1997,2h 18m
120. Bicycle Thieves,1948,1h 29m
121. Snatch,2000,1h 42m
122. Like Stars on Earth,2007,2h 45m
123. Taxi Driver,1976,1h 54m
124. 1917,2019,1h 59m
125. Downfall,2004,2h 36m
126. Dangal,2016,2h 41m
127. Top Gun: Maverick,2022,2h 10m
128. For a Few Dollars More,1965,2h 12m
129. Batman Begins,2005,2h 20m
130. Some Like It Hot,1959,2h 1m
131. The Kid,1921,1h 8m
132. The Wolf of Wall Street,2013,3h
133. The Father,2020,1h 37m
134. Green Book,2018,2h 10m
135. All About Eve,1950,2h 18m
136. Judgment at Nuremberg,1961,2h 59m
137. The Truman Show,1998,1h 43m
138. Ran,1985,2h 42m
139. There Will Be Blood,2007,2h 38m
140. Casino,1995,2h 58m
141. Shutter Island,2010,2h 18m
142. Pan's Labyrinth,2006,1h 58m
143. Unforgiven,1992,2h 10m
144. The Sixth Sense,1999,1h 47m
145. Jurassic Park,1993,2h 7m
146. A Beautiful Mind,2001,2h 15m
147. The Treasure of the Sierra Madre,1947,2h 6m
148. Yojimbo,1961,1h 50m
149. No Country for Old Men,2007,2h 2m
150. Monty Python and the Holy Grail,1975,1h 31m
151. Kill Bill: Vol. 1,2003,1h 51m
152. The Great Escape,1963,2h 52m
153. The Thing,1982,1h 49m
154. Rashomon,1950,1h 28m
155. Finding Nemo,2003,1h 40m
156. The Elephant Man,1980,2h 4m
157. Chinatown,1974,2h 10m
158. Spider-Man: No Way Home,2021,2h 28m
159. V for Vendetta,2005,2h 12m
160. Gone with the Wind,1939,3h 58m
161. Raging Bull,1980,2h 9m
162. Dial M for Murder,1954,1h 45m
163. Howl's Moving Castle,2004,1h 59m
"164. Lock, Stock and Two Smoking Barrels",1998,1h 47m
165. The Secret in Their Eyes,2009,2h 9m
166. Inside Out,2015,1h 35m
167. Prisoners,2013,2h 33m
"168. Three Billboards Outside Ebbing, Missouri",2017,1h 55m
169. The Bridge on the River Kwai,1957,2h 41m
170. Trainspotting,1996,1h 33m
171. Fargo,1996,1h 38m
172. Warrior,2011,2h 20m
173. Gran Torino,2008,1h 56m
174. Catch Me If You Can,2002,2h 21m
175. My Neighbor Totoro,1988,1h 26m
176. Million Dollar Baby,2004,2h 12m
177. Klaus,2019,1h 36m
178. Children of Heaven,1997,1h 29m
179. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m
180. Blade Runner,1982,1h 57m
181. 12 Years a Slave,2013,2h 14m
182. Before Sunrise,1995,1h 41m
183. The Gold Rush,1925,1h 35m
184. The Grand Budapest Hotel,2014,1h 39m
185. Ben-Hur,1959,3h 32m
186. Gone Girl,2014,2h 29m
187. On the Waterfront,1954,1h 48m
188. Barry Lyndon,1975,3h 5m
189. Hacksaw Ridge,2016,2h 19m
190. In the Name of the Father,1993,2h 13m
191. The General,1926,1h 18m
192. The Deer Hunter,1978,3h 3m
193. Wild Strawberries,1957,1h 31m
194. Memories of Murder,2003,2h 12m
195. The Third Man,1949,1h 33m
196. The Wages of Fear,1953,2h 11m
197. Wild Tales,2014,2h 2m
198. Sherlock Jr.,1924,45m
199. Mad Max: Fury Road,2015,2h
200. Dead Poets Society,1989,2h 8m
201. Mr. Smith Goes to Washington,1939,2h 9m
"202. Monsters, Inc.",2001,1h 32m
203. How to Train Your Dragon,2010,1h 38m
204. Mary and Max,2009,1h 32m
205. Jaws,1975,2h 4m
206. The Seventh Seal,1957,1h 36m
207. Room,2015,1h 58m
208. The Big Lebowski,1998,1h 57m
209. Tokyo Story,1953,2h 16m
210. Ford v Ferrari,2019,2h 32m
211. Ratatouille,2007,1h 51m
212. Hotel Rwanda,2004,2h 1m
213. The Passion of Joan of Arc,1928,1h 54m
214. Rocky,1976,2h
215. Logan,2017,2h 17m
216. Platoon,1986,2h
217. Spotlight,2015,2h 9m
218. The Terminator,1984,1h 47m
219. Jai Bhim,2021,2h 44m
220. Before Sunset,2004,1h 20m
221. Rush,2013,2h 3m
222. Network,1976,2h 1m
223. Stand by Me,1986,1h 29m
224. The Best Years of Our Lives,1946,2h 50m
225. The Wizard of Oz,1939,1h 42m
226. Into the Wild,2007,2h 28m
227. La haine,1995,1h 38m
228. The Exorcist,1973,2h 2m
229. The Incredibles,2004,1h 55m
230. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m
231. To Be or Not to Be,1942,1h 39m
232. Groundhog Day,1993,1h 41m
233. My Father and My Son,2005,1h 52m
234. The Grapes of Wrath,1940,2h 9m
235. Hachi: A Dog's Tale,2009,1h 33m
236. The Battle of Algiers,1966,2h 1m
237. The Handmaiden,2016,2h 25m
238. Amores Perros,2000,2h 34m
239. Rebecca,1940,2h 10m
240. Cool Hand Luke,1967,2h 7m
241. Pather Panchali,1955,2h 5m
242. The Sound of Music,1965,2h 52m
243. It Happened One Night,1934,1h 45m
244. The Iron Giant,1999,1h 26m
245. The 400 Blows,1959,1h 39m
246. The Help,2011,2h 26m
247. Persona,1966,1h 23m
248. Life of Brian,1979,1h 34m
249. Aladdin,1992,1h 30m
250. Drishyam,2015,2h 43m